id_cliente,data,descricao,categoria,valor,tipo
1,2026-01-05,Salário Empresa Tecnologia,Renda,5000.00,entrada
1,2026-01-06,Aporte Tesouro Selic,Investimentos,500.00,saida
1,2026-01-07,Netflix,Assinaturas,39.90,saida
1,2026-01-08,Plano de Saúde,Saúde,350.00,saida
1,2026-01-10,Conta de Energia,Contas,145.00,saida
1,2026-01-12,Supermercado Extra,Alimentação,420.00,saida
1,2026-01-18,Posto Shell,Transporte,220.00,saida
1,2026-01-22,Restaurante Japonês,Lazer,110.00,saida
2,2026-01-05,Salário Agência Criativa,Renda,3000.00,entrada
2,2026-01-06,Aporte CDB Liquidez Diária Premium,Investimentos,250.00,saida
2,2026-01-07,Netflix,Assinaturas,39.90,saida
2,2026-01-09,Conta de Energia,Contas,98.00,saida
2,2026-01-11,Supermercado Carrefour,Alimentação,320.00,saida
2,2026-01-17,Uber,Transporte,82.00,saida
2,2026-01-23,Reserva Viagem Europa,Investimentos,300.00,saida
2,2026-01-28,Spotify,Assinaturas,21.90,saida
1,2026-02-05,Salário Empresa Tecnologia,Renda,5000.00,entrada
1,2026-02-06,Aporte Tesouro Selic,Investimentos,500.00,saida
1,2026-02-07,Netflix,Assinaturas,39.90,saida
1,2026-02-08,Plano de Saúde,Saúde,350.00,saida
1,2026-02-10,Conta de Energia,Contas,152.00,saida
1,2026-02-12,Supermercado Extra,Alimentação,438.00,saida
1,2026-02-18,Posto Shell,Transporte,240.00,saida
1,2026-02-26,CDB Liquidez Diária Premium,Investimentos,300.00,saida
2,2026-02-05,Salário Agência Criativa,Renda,3000.00,entrada
2,2026-02-06,Aporte CDB Liquidez Diária Premium,Investimentos,250.00,saida
2,2026-02-07,Netflix,Assinaturas,39.90,saida
2,2026-02-09,Conta de Energia,Contas,102.00,saida
2,2026-02-11,Supermercado Carrefour,Alimentação,338.00,saida
2,2026-02-17,Uber,Transporte,90.00,saida
2,2026-02-23,Reserva Viagem Europa,Investimentos,300.00,saida
2,2026-02-27,Spotify,Assinaturas,21.90,saida
1,2026-03-05,Salário Empresa Tecnologia,Renda,5000.00,entrada
1,2026-03-06,Aporte Tesouro Selic,Investimentos,500.00,saida
