id_cliente,data,canal,tema,resumo,resolvido
1,2025-09-01,chat,CDB,Explicação sobre impostos no CDB,sim
1,2025-10-05,telefone,Cartão,Bloqueio preventivo por suspeita de fraude,sim
1,2025-11-11,chat,Reserva de emergência,Cliente revisou estratégia de liquidez diária,sim
1,2026-01-14,email,Metas,Acompanhamento da entrada do apartamento,sim

2,2025-09-05,telefone,Aplicativo,Erro de login resolvido,sim
2,2025-10-01,chat,Metas,Ajuste da meta da viagem internacional,sim
2,2025-10-25,chat,Ações,Dúvida sobre volatilidade da bolsa,sim
2,2026-02-03,chat,Reserva financeira,Orientações sobre aumento da reserva de emergência,sim

3,2025-09-10,chat,Tesouro Direto,Dúvida sobre taxa de custódia,sim
3,2025-10-15,chat,Perfil,Atualização da renda mensal,sim
3,2025-11-05,chat,Metas,Configuração de débito automático para investimentos,sim
3,2026-02-20,telefone,ETF,Explicação sobre ETFs internacionais,sim

4,2025-09-15,email,Investimentos,Consulta sobre LCI e prazo mínimo,sim
4,2025-10-10,chat,Fundos,Rentabilidade do fundo multimercado,sim
4,2025-10-25,email,Cadastro,Atualização de telefone e e-mail,sim
4,2026-03-02,chat,Dívidas,Planejamento para quitação antecipada,sim

5,2025-09-15,chat,CDB,Dúvidas sobre rentabilidade e prazo,sim
5,2025-11-18,telefone,Veículo,Planejamento financeiro para compra do carro,sim
5,2026-01-05,chat,Reserva de emergência,Reforço da importância da liquidez,sim
5,2026-02-25,email,Perfil,Atualização de patrimônio,sim

6,2025-10-02,chat,Tesouro Selic,Explicação sobre reserva de emergência,sim
6,2025-11-08,chat,Previdência,Cliente avaliou previdência privada,sim
6,2026-01-20,telefone,Metas,Revisão da meta de intercâmbio,sim
6,2026-03-11,chat,CDB,Dúvidas sobre liquidez diária,sim

7,2025-09-18,chat,ETF,Primeiro contato sobre investimentos internacionais,sim
7,2025-11-02,chat,Perfil moderado,Cliente buscou diversificação da carteira,sim
7,2026-01-07,email,Fundos,Explicação sobre multimercados,sim
